Word/Phrase	Fun Opposite	Good word	Good Opposite	Don't Like	Difficulty	Helper 1	Helper 2	Helper 3	Category
Air conditioner	Ground-Heater	TRUE	TRUE	FALSE		Heater	Furnace	Sweat	Household
Air filter	Ground-Adder	TRUE	TRUE	FALSE		Polluter	Clogger	Dirt	Household
Slow Poke	Fast Pinch	TRUE	TRUE	FALSE		Speedster	Rusher	Flash	Personality
Airfare	Ground free	TRUE	TRUE	FALSE		Walk-free	Stay-paid	Ground-cost	Travel
Airplane	Train	TRUE	TRUE	FALSE		Submarine	Train	Car	Travel
Airplane wing	Ground-Mountain Stub	TRUE	TRUE	FALSE		Submarine-fin	Train-wheel	Car-door	Travel
Airplane wing	Train Stub	TRUE	TRUE	FALSE		Submarine-fin	Train-wheel	Car-door	Travel
Airport	Ground Sea	TRUE	TRUE	FALSE		Station	Port	Stop	Travel
Airport lounge	Ground - Sea - Pit	TRUE	TRUE	FALSE		Station-bench	Street-corner	Bus-stop	Travel
Window seat	Aisle Stand-	TRUE	TRUE	FALSE		Aisle-stand	Middle-floor	Roof-lay	Travel
Kidney	Adult-Elbow	TRUE	FALSE	FALSE		Lung	Heart	Skin	Body
Babysitting	Adult-standing	TRUE	TRUE	FALSE		Adult-ignoring	Elder-leaving	Self-care	Jobs
Backpack	Front-Loose	TRUE	TRUE	FALSE		Briefcase	Purse	Pocket	Items
Bacon	Cook-off → Freeze-off	TRUE	TRUE	FALSE		Lettuce	Tomato	Tofu	Food
Softball	Rock-Cube	TRUE	TRUE	FALSE		Hard-rock	Baseball	Brick	Sports
Baggage claim	Freedom lose	TRUE	FALSE	FALSE		Luggage-drop	Bag-lose	Case-toss	Travel
Banana split	Potato join	TRUE	TRUE	FALSE		Apple-whole	Grape-join	Melon-fix	Food
Basketball	Shelf-Cube	TRUE	TRUE	FALSE		Football	Golfball	Puck	Sports
Basketball hoop	Shelf-Cube Net	TRUE	TRUE	FALSE		Soccer-goal	Golf-hole	Hockey-net	Sports
Bassoon	Treble-Later	TRUE	TRUE	FALSE		Flute	Piccolo	Whistle	Music
Beachball	Mountain-cube	TRUE	TRUE	FALSE		Snow-brick	Dirt-clod	Rock	Fun
Bedroom	Awake-hall	TRUE	FALSE	FALSE		Kitchen	Office	Garage	House
Bicycle	Uni-line	TRUE	TRUE	FALSE		Car	Truck	Bus	Transport
Bicycle rack	Uni-line Loose	FALSE	FALSE	FALSE		Car-garage	Truck-stop	Bus-depot	Transport
Birthday cake	Funeral-Sour-Dough	TRUE	TRUE	FALSE		Funeral-pie	Wedding-soup	Divorce-bread	Food
Birthday candle	Funeral smoke	TRUE	TRUE	FALSE		Funeral-dark	Wedding-light	Party-bulb	Items
Black tea	White Coffee	TRUE	TRUE	FALSE		White-coffee	Green-juice	Red-soda	Drink
Blueberry	Orange-Melon	TRUE	TRUE	FALSE		Red-cherry	Yellow-lemon	Orange	Food
Bookmark	Movie Erase	TRUE	TRUE	FALSE		Page-ripper	Book-burner	Text-eraser	Items
Bookworm	Movie-walk	TRUE	TRUE	FALSE		Movie-star	TV-addict	Game-player	Personality
Breakfast	Fix-slow	TRUE	TRUE	FALSE		Dinner	Supper	Lunch	Food
Bubble gum	Pop Tooth	TRUE	TRUE	FALSE		Hard-candy	Chocolate	Mints	Candy
Bullet train	Snail Airplane	TRUE	TRUE	FALSE		Snail-cart	Turtle-walk	Slug-crawl	Transport
Cabin crew	Cave ignore	FALSE	FALSE	FALSE		Cockpit-solo	Ground-staff	Passenger	Travel
Cabin lights	Cave darks	FALSE	FALSE	FALSE		Cargo-darks	Street-lamps	Sun-shine	Travel
Caboose	Front-Airplane	FALSE	FALSE	FALSE		Engine	Locomotive	Front	Transport
Calculator	Guess sooner	TRUE	FALSE	FALSE		Guesser	Estimator	Dreamer	Tools
Candlestick	Darkness-ball	FALSE	FALSE	FALSE		Light-bulb	Flashlight	Sun	Items
Candy apple	Vegetable Onion	FALSE	FALSE	FALSE		Sour-grape	Salty-nut	Bitter-lemon	Food
Candy bar	Veggie-Rope	TRUE	TRUE	FALSE		Veggie-stick	Fruit-slice	Meat-slab	Food
Candy cane	Veggie-Umbrella	TRUE	TRUE	FALSE		Sour-stick	Salty-pretzel	Bitter-root	Food
Capture the flag	Lose the Secret	TRUE	TRUE	FALSE		Drop-ball	Lose-game	Give-up	Games
Car horn	Truck Whisperer	TRUE	TRUE	FALSE		Bike-bell	Train-whistle	Ship-blast	Car
Car keys	Truck Locks	TRUE	TRUE	FALSE		House-lock	Bike-chain	Safe-combo	Car
Car seat	Truck Stand	TRUE	TRUE	FALSE		Bench	Stool	Chair	Car
Car wash	Truck Dirty	TRUE	TRUE	FALSE		Dirt-road	Mud-pit	Dust-storm	Car
Carpool	Truck-Drain	TRUE	TRUE	FALSE		Solo-drive	Walk-alone	Bike-single	Car
Carrot cake	Steak bread	FALSE	FALSE	FALSE		Meat-loaf	Fish-pie	Steak	Food
Carry-on	Drop-Off	TRUE	TRUE	FALSE		Check-in	Leave-behind	Drop-off	Travel
Drop Off	Carry On	TRUE	TRUE	FALSE		Pick-up	Carry-on	Take-away	Travel
Caterpillar	Dog-and-shaft	TRUE	TRUE	FALSE		Butterfly	Moth	Worm	Animals
Ceiling Fan	Floor Hater	TRUE	TRUE	FALSE		Floor-heater	Wall-light	Table-lamp	House
Cereal bowl	Steak plate	FALSE	FALSE	FALSE		Soup-plate	Salad-dish	Dinner-tray	Food
Chai latte	Bitter fall	FALSE	FALSE	TRUE		Black-coffee	Green-tea	Water	Drink
Chalk dust	Ink mud	FALSE	FALSE	FALSE		Ink-blot	Paint-spill	Marker-stain	School
Chalk eraser	Ink maker	FALSE	FALSE	FALSE		Pen-cap	Pencil-tip	Marker-lid	School
Chalkboard	Ink-wall	FALSE	FALSE	FALSE		Whiteboard	Smartboard	Paper	School
Checked bag	Missing box	FALSE	FALSE	FALSE		Carry-on	Purse	Backpack	Travel
Cheerleader	Boo Follower	TRUE	TRUE	FALSE		Booer	Heckler	Critic	Sports
Cheese stick	Veggie rope	FALSE	FALSE	FALSE		Meat-ball	Bread-loaf	Fruit-cup	Food
Cheeseburger	Broccoli-salad	FALSE	FALSE	FALSE		Hamburger	Hotdog	Taco	Food
Cheesecake	Veggies-flat	FALSE	FALSE	FALSE		Pie	Tart	Brownie	Food
Cherry tart	Broccoli bland	FALSE	FALSE	FALSE		Apple-pie	Lemon-bar	Choco-cake	Food
Chicken nuggets	Tofu/Brave Boulders	TRUE	TRUE	FALSE	3	Beef-steak	Pork-chop	Fish-filet	Food
Chocolate	Vanilla	TRUE	TRUE	FALSE	1	Vanilla	Strawberry	Mint	Food
Chocolate bar	Vanilla Rope	TRUE	TRUE	FALSE	2	Vanilla-cone	Fruit-roll	Nut-bar	Food
Circus tent	Office mansion	TRUE	TRUE	FALSE	3	Office-block	House-brick	Shop-glass	Fun
Clarinet	Chaos rock	FALSE	FALSE	TRUE		Trumpet	Drum	Guitar	Music
Cloudburst	Sunshine-seal	TRUE	TRUE	FALSE	3	Sun-drought	Wind-dry	Sand-storm	Weather
Clown	Businessman	FALSE	FALSE	FALSE		Mime	Actor	Lawyer	Fun
Clutch	Slip	FALSE	FALSE	FALSE		Release	Drop	Let-go	Car
Coconut	Fireleaf	FALSE	FALSE	FALSE		Peanut	Walnut	Almond	Food
Coffee	Sleep-Solid	FALSE	FALSE	FALSE		Tea	Water	Juice	Drink
Coffee pot	Tea-Cup	TRUE	TRUE	FALSE	1	Tea-kettle	Juice-jug	Water-pitcher	Drink
Colored pencils	Plain Pens	TRUE	TRUE	FALSE	2	Black-pens	White-chalk	Grey-lead	Art
Compass	Go-Fail	TRUE	TRUE	FALSE	3	Map	GPS	Star	Tools
Compass tool	Chaos rock	FALSE	FALSE	FALSE		Ruler	Protractor	Scale	Tools
Conductor	Passenger	TRUE	TRUE	FALSE		Passenger	Driver	Pilot	Transport
Control tower	Chaos pit	TRUE	TRUE	FALSE		Ground-crew	Runway	Gate	Travel
Cookie jar	Broccoli-Dropbox	FALSE	FALSE	FALSE		Fruit-bowl	Veggie-bin	Bread-box	Food
Hand in the Cookie Jar	Foot out the Bake DropBox	TRUE	TRUE	FALSE		Foot-in-mouth	Head-in-sand	Eye-on-ball	Idioms
Copilot	SoloRider	TRUE	TRUE	FALSE		Pilot	Passenger	Steward	Travel
Corn dog	wheat cat	TRUE	FALSE	FALSE		Hot-dog	Burger	Pizza	Food
Cornbread	Waterstone	FALSE	FALSE	FALSE		Wheat-toast	Rye-bun	White-slice	Food
Cotton candy	Steel veggie	TRUE	TRUE	FALSE		Rock-candy	Hard-tack	Jaw-breaker	Candy
Cotton candy	Iron veggie	FALSE	FALSE	FALSE		Rock-candy	Hard-tack	Jaw-breaker	Candy
Cotton gloves	Iron Socks	FALSE	FALSE	FALSE		Wool-socks	Leather-boots	Rubber-shoes	Clothing
Crayons	Rock cubes	FALSE	FALSE	FALSE		Markers	Paints	Pencils	Art
Crosswalk	Stay run	TRUE	TRUE	FALSE		Jay-walk	Run-across	Stay-put	City
Cup noodles	Plate-rice	FALSE	FALSE	FALSE		Plate-pasta	Bowl-rice	Dish-stew	Food
Cupcake	Strained-Sourdough	TRUE	TRUE	FALSE		Muffin	Donut	Scone	Food
Cupcake sprinkles	Salad crumbs	FALSE	FALSE	FALSE		Choco-chips	Nuts	Raisins	Food
Cupholder	Plate-dropper	TRUE	TRUE	FALSE		Plate-rack	Dish-drain	Bowl-stack	Car
Departure time	Arrival void	TRUE	TRUE	FALSE		Arrival-date	Stay-length	Return-trip	Travel
Graduation Diploma	Failure Saying	TRUE	TRUE	FALSE		Birth-cert	Death-warrant	Marriage-license	Life
Dirty Mind	Clean body	TRUE	TRUE	FALSE		Clean-slate	Pure-heart	Blank-page	Personality
Dishwasher	Plate-dirty	FALSE	FALSE	FALSE		Sink	Sponge	Towel	House
Dodgeball	Hitcube	TRUE	TRUE	FALSE		Catch	Tag	Hide	Sports
Donuts	Don'tShells	TRUE	TRUE	FALSE		Bagels	Croissants	Rolls	Food
Door knob	Window-smooth	FALSE	FALSE	FALSE		Window-latch	Gate-hook	Wall-switch	House
Doorbell	Wall-Silence	TRUE	TRUE	FALSE		Knocker	Peephole	Mat	House
Dumbbell	Smart-silencer	FALSE	FALSE	FALSE		Barbell	Weight	Machine	Gym
Dr Pepper	Nurse-salt	TRUE	TRUE	FALSE		Mr-Pibb	Coke	Pepsi	Drink
Dragonfly	Pull-off-fall	TRUE	TRUE	FALSE		Butterfly	Bee	Fly	Animals
Driveway	Sit hall	TRUE	FALSE	FALSE		Parkway	Highway	Street	House
Dryer	Wetter	TRUE	TRUE	FALSE		Washer	Line	Rack	House
Economy seat	Luxury Stand	TRUE	TRUE	FALSE		First-class	Business	Pilot	Travel
Eggroll	SpermRock	TRUE	TRUE	FALSE		Spring-roll	Dumpling	Bun	Food
Emergency exit	Everyday wall	FALSE	FALSE	FALSE		Main-entrance	Front-door	Side-gate	Safety
Energy bar	Sleep Rope	TRUE	TRUE	FALSE		Sleep-pill	Calm-tea	Relax-mat	Food
Energy drink	Sleep sip	TRUE	TRUE	FALSE		Water	Milk	Juice	Drink
Eraser	Marker	TRUE	TRUE	FALSE		Pen	Marker	Chalk	School
Field trip	Hill Stay	TRUE	TRUE	FALSE		Home-stay	Class-work	Desk-job	School
Final boarding	First Leaving	TRUE	TRUE	FALSE		First-call	Pre-board	Check-in	Travel
Fire eater	Water Spewer	TRUE	TRUE	FALSE		Water-drinker	Ice-chewer	Air-breather	Fun
Fire hose	water board	TRUE	TRUE	FALSE		Garden-hose	Straw	Pipe	Safety
Firefighter	Water-pacifist	TRUE	TRUE	FALSE		Arsonist	Police	Doctor	Jobs
Firetruck	Waterbike or watercar	TRUE	TRUE	FALSE		Police-car	Ambulance	Taxi	City
Fireworks	Water Plays	TRUE	TRUE	FALSE		Sparklers	Flares	Lights	Fun
First class	Last free-play	TRUE	TRUE	FALSE		Economy	Coach	Cargo	Travel
Flashlight	Slow-dark	TRUE	TRUE	FALSE		Candle	Lamp	Sun	Tools
